,성별(1),산업별(1),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
0,성별(1),산업별(1),임금 근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금 근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금 근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금 근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금 근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금 근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금 근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금 근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자
21,전체,u. 가구내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,201,79,123,36,66,0,0,0,12,39,136,59,77,20,49,0,0,0,14,23,115,56,59,17,46,0,0,0,3,12,52,25,27,6,23,0,0,0,1,6,39,16,23,5,19,0,0,0,1,8,81,18,63,32,50,0,1,1,2,11,103,28,75,30,59,0,0,0,9,10,83,12,71,26,56,2,0,0,9,11
22,전체,v. 국제 및 외국기관,28,27,1,1,0,0,0,0,0,0,36,31,5,5,0,0,0,0,0,0,33,26,7,7,0,0,0,0,0,0,14,8,6,5,0,0,1,0,0,0,9,6,3,3,1,0,0,0,0,0,10,7,4,4,0,0,0,0,0,0,19,14,5,5,2,0,0,0,0,0,13,12,1,1,0,0,0,0,0,0
23,여자,a. 계,16220,9751,6469,3536,2842,204,565,700,123,509,16663,9982,6681,3682,3030,224,602,707,92,531,17117,10139,6977,3849,3406,227,684,711,79,479,8818,5186,3632,1996,1902,99,313,339,27,203,8874,5195,3678,2075,1971,92,258,349,49,198,9163,5038,4125,2547,2310,93,283,347,38,187,9085,4994,4091,2529,2337,69,247,313,41,214,9476,4985,4491,2938,2502,102,233,354,62,213
24,여자,"b. 농업, 임업 및 어업",132,33,99,21,31,0,1,0,0,74,131,24,108,16,41,0,0,0,0,88,137,28,110,21,40,0,0,1,1,85,67,11,56,13,22,1,0,0,1,39,52,15,37,9,16,0,0,0,0,24,58,18,40,14,12,0,0,0,0,24,48,14,34,6,9,0,0,0,1,25,50,8,41,6,14,0,0,2,1,32
25,여자,c. 광업,3,1,2,2,0,0,0,0,0,0,4,2,3,3,0,0,0,0,0,0,5,3,1,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
26,여자,d. 제조업,2312,1835,476,296,143,18,3,2,75,51,2349,1849,500,299,170,22,2,5,50,53,2346,1858,489,289,183,24,4,2,46,55,1206,963,242,144,98,3,6,6,13,18,1151,911,240,123,110,3,4,3,27,22,1123,835,288,176,129,4,8,3,22,27,1119,869,250,158,97,2,2,3,13,18,1123,862,261,189,76,2,2,3,12,27
27,여자,"e. 전기, 가스, 증기 및 공기조절 공급업",22,18,4,3,1,0,2,0,0,0,25,19,6,2,3,0,1,0,0,0,28,25,3,3,1,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,6,5,1,1,0,0,0,0,0,0,8,4,4,4,1,0,0,0,0,0,11,8,3,3,0,0,0,0,0,0,16,11,5,3,3,0,0,0,0,3
28,여자,"f. 수도, 하수 및 폐기물 처리, 원료 재생업",32,27,5,3,2,0,1,0,0,1,37,27,11,6,6,0,1,0,0,1,30,19,11,7,7,0,0,0,0,0,21,11,11,6,4,0,0,0,0,1,19,12,7,5,5,0,1,0,0,0,22,13,9,6,4,0,0,0,0,0,21,11,9,6,5,0,0,0,1,0,26,19,7,5,2,0,0,0,0,0
29,여자,g. 건설업,238,154,83,46,25,0,0,0,1,24,249,155,94,46,27,3,0,0,0,33,236,147,88,35,31,0,0,0,1,35,147,77,70,32,19,1,5,1,0,24,172,100,71,30,22,0,0,1,1,25,173,103,70,31,25,0,1,0,1,21,179,112,67,21,28,0,0,0,0,25,191,123,68,29,24,1,2,0,2,20
30,여자,h. 도매 및 소매업,2163,1350,813,295,396,36,4,172,4,52,2254,1393,862,330,439,40,2,182,4,53,2201,1381,819,341,419,38,3,150,1,37,1120,682,438,169,248,12,1,82,3,20,1095,669,426,171,236,19,0,78,4,17,1099,641,458,218,241,22,1,75,3,10,1036,564,471,195,264,12,0,70,2,20,1014,547,467,216,270,13,1,53,8,26
