"행정구역별(1)","특성별(1)",특성별(2),2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"행정구역별(1)","특성별(1)",특성별(2),여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다
"전국","교육정도",초졸이하,25.8,6.8,16.7,4.4,7.2,64.9,,44.3,0.2,18.1,30.9,6.8,20.1,4.7,5.4,61.8,,38.4,0.3,16.8,28.5,7.1,17.5,4.5,3.7,61.4,,38.7,0.0,18.2,31.4,7.5,20.2,4.9,2.9,66.4,,40.2,0.1,13.4,37.5,8.8,27.0,5.9,4.6,64.6,18.8,39.5,0.0,15.8,35.0,,31.3,,8.0,68.8,22.7,45.3,0.1,16.5,36.6,,33.4,,8.6,66.7,22.2,42.0,0.1,16.8
"전국","교육정도",중 졸,40.4,10.4,31.4,5.9,8.3,63.0,,42.0,0.2,11.1,39.9,9.7,29.5,6.6,5.4,60.4,,39.6,0.1,11.9,39.3,10.8,25.8,5.8,5.2,61.9,,39.0,0.1,11.5,40.4,11.4,31.6,6.8,4.2,65.3,,38.8,0.1,8.9,47.5,12.0,37.2,6.4,6.3,66.8,18.5,39.4,0.0,9.7,43.0,,41.2,,10.9,71.1,20.5,46.1,0.2,11.0,40.7,,41.8,,12.1,67.8,23.2,43.3,0.4,12.8
"전국","교육정도",고 졸,43.4,12.7,34.1,7.0,9.8,69.8,,43.2,0.1,5.6,40.0,13.2,32.6,6.5,8.0,66.3,,43.5,0.1,6.7,39.9,13.6,31.3,5.7,6.3,64.9,,40.8,0.1,7.1,42.7,14.7,34.9,7.3,5.6,68.8,,41.1,0.1,5.7,51.8,15.7,43.0,8.4,7.3,71.7,16.5,40.1,0.1,5.1,43.9,,48.2,,13.7,75.0,20.3,49.3,0.5,7.6,41.1,,46.4,,15.0,72.7,22.3,46.8,0.7,9.3
"전국","교육정도",대졸이상,44.9,18.0,37.9,6.5,7.8,76.9,,43.9,0.1,2.4,42.4,17.8,36.1,6.3,6.6,75.9,,44.4,0.1,3.0,42.8,17.5,33.4,5.6,6.0,76.0,,44.0,0.1,3.4,45.5,17.6,38.6,6.5,4.7,77.5,,43.7,0.2,2.7,54.4,18.7,45.9,7.4,5.8,81.4,16.4,42.3,0.1,2.3,45.0,,53.2,,11.7,83.8,21.1,51.7,0.8,4.0,38.7,,49.9,,13.9,81.8,24.1,51.0,1.0,5.6
"전국","혼인상태",미? 혼,52.8,15.3,40.8,6.7,7.4,63.9,,35.6,0.2,8.7,51.5,16.4,38.0,8.0,6.0,61.4,,35.1,0.1,9.3,49.9,17.3,35.8,7.4,4.6,61.9,,34.7,0.1,9.7,52.3,18.8,38.7,8.8,4.3,66.1,,33.5,0.3,7.0,61.3,19.0,46.1,9.6,5.6,69.8,14.3,32.7,0.2,6.4,51.8,,50.4,,10.8,73.8,17.5,41.1,1.0,9.8,45.5,,46.5,,12.3,69.6,20.2,40.4,1.5,13.1
"전국","혼인상태",배우자 있음,37.9,13.1,30.3,6.4,9.1,73.5,,46.5,0.1,5.6,35.3,12.4,29.8,5.5,7.1,72.0,,46.3,0.2,5.8,35.5,12.6,27.3,4.8,6.2,71.8,,45.1,0.1,5.9,38.3,13.1,32.5,5.9,5.0,74.5,,45.9,0.1,4.8,47.3,14.4,40.9,6.5,6.7,77.2,18.0,45.0,0.1,4.5,40.2,,47.6,,12.7,79.9,22.4,53.9,0.3,5.6,37.3,,46.5,,14.5,79.0,24.9,51.6,0.4,6.3
"전국","혼인상태",사? 별,22.7,5.8,16.6,3.5,7.1,68.3,,46.8,0.2,16.9,22.5,5.1,15.7,3.6,6.2,63.7,,40.9,0.3,19.3,22.8,5.7,14.2,3.3,3.8,61.2,,40.0,0.0,20.3,25.6,6.0,17.8,3.7,3.3,66.6,,40.7,,14.4,32.7,8.4,23.8,4.9,4.7,66.1,18.9,40.0,,16.7,30.2,,29.7,,7.5,69.6,23.5,47.0,0.2,16.1,32.8,,33.3,,8.0,68.6,22.0,43.8,0.1,16.4
"전국","혼인상태",이? 혼,35.1,11.7,30.6,6.8,10.2,63.8,,40.5,0.2,9.8,33.1,11.4,27.2,6.4,6.9,58.4,,39.4,0.5,12.9,34.9,11.5,27.7,5.7,7.3,57.8,,35.4,0.0,12.5,38.1,9.8,36.0,5.7,5.2,64.2,,38.5,,8.7,45.1,15.5,38.1,8.8,7.3,66.7,19.5,39.3,0.2,8.0,41.0,,44.3,,13.5,72.8,21.3,47.7,0.4,10.5,38.9,,46.6,,14.2,69.4,21.3,45.9,0.3,10.3
"전국","경제활동상태",취? 업,41.2,14.5,33.4,6.7,8.8,72.0,,44.3,0.1,5.2,39.0,14.2,32.6,6.0,7.0,69.5,,43.7,0.2,5.8,38.5,14.3,30.3,5.4,5.7,69.7,,42.7,0.0,6.0,42.1,15.4,35.5,6.6,4.7,72.5,,42.6,0.2,4.3,51.4,16.8,43.3,7.8,6.2,75.6,17.3,41.7,0.1,4.0,42.9,,49.2,,11.9,78.8,21.1,50.9,0.5,6.3,39.1,,47.7,,13.6,78.5,23.5,49.8,0.7,6.9
"전국","경제활동상태",실업 및 비경제활동,40.0,11.3,30.5,5.7,8.2,68.1,,42.3,0.1,10.1,39.3,11.7,29.3,6.3,6.3,65.8,,40.7,0.1,10.8,39.4,12.3,27.1,5.6,5.5,64.8,,39.3,0.1,11.3,41.0,12.6,30.9,6.6,4.7,69.0,,40.1,0.1,8.8,48.7,13.4,38.0,6.9,6.4,71.1,16.6,39.3,0.1,9.0,43.1,,43.7,,11.7,74.2,20.8,46.9,0.5,10.2,40.0,,43.0,,13.2,70.6,22.7,44.5,0.6,12.1
