"성별(1)","직업별(1)",2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"성별(1)","직업별(1)",임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자
"여자","단순노무 종사자",1500,550,949,511,502,26,190,24,38,159,1538,553,985,540,524,35,196,18,44,162,1528,537,991,513,506,29,218,24,31,166,1614,556,1058,583,568,41,228,28,29,174,1590,538,1052,592,574,39,252,25,23,147,1643,547,1095,609,616,31,253,23,23,175,1634,571,1063,592,639,27,222,22,16,130,1596,508,1089,648,674,24,189,20,26,129,1673,469,1204,807,772,25,219,23,20,119,1799,490,1309,898,865,26,191,27,16,127,1875,465,1410,1009,914,46,182,33,19,123
"남자","계",10590,7828,2762,1679,529,80,351,201,10,540,10796,7944,2852,1740,584,80,329,193,4,566,10795,8016,2779,1651,617,91,367,163,2,581,11007,8103,2903,1760,684,87,352,141,8,615,10900,8125,2775,1698,600,90,360,146,5,547,11086,8166,2919,1713,707,102,357,154,2,614,11188,8242,2946,1729,761,89,381,158,3,598,11171,8236,2936,1748,737,97,337,157,4,603,11396,8040,3356,2238,846,89,333,182,8,561,11361,8026,3335,2079,915,95,305,185,8,682,11517,7941,3575,2234,1011,109,351,207,17,742
"남자","관리자",292,258,35,30,4,1,1,1,-,-,314,275,39,36,2,-,1,1,-,-,289,247,42,40,1,0,2,-,-,-,273,231,42,39,4,0,1,-,-,-,272,231,41,40,2,0,3,-,-,-,267,225,42,41,2,-,0,-,-,-,251,219,32,27,6,-,1,1,-,-,303,275,28,26,2,0,3,0,-,-,316,277,38,34,4,-,2,1,-,-,304,258,45,40,6,-,5,0,-,-,286,235,51,46,3,3,6,-,-,-
"남자","전문가 및 관련 종사자",2196,1821,375,311,82,12,3,16,1,1,2212,1820,392,333,96,9,4,13,1,1,2128,1768,360,294,97,18,4,8,1,3,2197,1808,388,316,107,15,5,7,5,2,2173,1826,346,274,86,13,6,17,1,1,2248,1885,364,284,98,14,6,17,0,2,2240,1868,372,295,89,11,6,12,-,3,2301,1930,371,301,93,4,2,18,2,2,2294,1878,416,337,119,8,4,18,2,-,2381,1976,405,346,102,6,12,13,0,1,2376,1943,433,345,119,14,7,24,8,-
"남자","사무 종사자",2196,1911,286,250,36,4,12,13,0,0,2165,1915,251,214,33,4,10,10,0,1,2207,1976,231,195,31,5,14,11,-,1,2244,2008,235,209,35,5,11,8,-,1,2228,2008,220,192,37,4,13,7,2,1,2207,1966,241,200,46,4,18,8,-,-,2315,2061,254,212,46,6,15,10,1,1,2257,2010,247,202,56,3,16,5,1,-,2260,1968,292,259,52,7,9,3,2,4,2184,1917,267,224,66,10,9,5,3,1,2201,1913,288,238,79,14,5,5,0,7
"남자","서비스 종사자",599,428,171,94,74,10,18,4,0,8,642,437,205,106,104,16,18,4,-,13,630,449,180,91,102,7,21,3,-,10,615,427,189,98,114,6,18,2,-,14,608,435,173,81,105,4,21,5,-,15,665,454,211,90,133,9,21,2,-,9,691,467,224,107,128,4,23,3,-,15,644,430,214,119,121,9,20,1,-,12,692,433,259,157,144,4,21,5,0,11,620,390,230,121,134,7,25,9,2,15,666,441,225,127,117,8,25,5,1,3
"남자","판매 종사자",681,470,211,67,44,5,4,110,2,1,717,499,218,73,55,4,2,106,-,3,704,492,212,55,62,4,3,103,-,4,694,488,206,70,60,3,3,91,-,3,696,507,189,68,58,3,2,78,-,4,716,518,199,69,67,4,5,79,-,3,702,476,226,67,90,5,3,87,-,2,711,510,202,72,73,3,2,80,0,4,724,496,229,95,75,6,1,92,2,6,726,509,217,78,76,8,2,84,0,5,664,435,229,103,102,6,1,76,2,7
"남자","농림어업숙련 종사자",41,21,20,14,2,1,4,-,-,5,39,20,19,14,1,0,1,-,-,5,37,22,15,11,1,0,0,-,-,4,41,22,19,14,2,-,2,-,-,4,40,23,17,10,1,1,0,-,-,6,45,28,18,10,4,-,1,-,-,6,43,25,18,11,1,-,1,-,-,6,55,34,21,15,2,0,0,-,-,5,62,33,29,24,1,0,1,2,-,5,63,33,30,23,5,0,1,2,-,5,63,38,25,17,4,1,2,-,-,5
"남자","기능원 및 관련기능 종사자",1431,919,512,195,58,12,36,3,3,288,1457,937,519,209,39,13,34,2,0,288,1465,936,529,209,54,21,37,0,0,295,1548,974,575,236,62,21,45,1,1,314,1526,966,561,249,44,22,36,2,0,277,1531,961,569,228,62,24,29,4,-,301,1471,949,522,218,62,15,43,4,-,276,1493,944,550,222,56,21,31,5,-,290,1564,966,598,309,60,16,36,5,1,262,1577,978,599,266,88,17,32,4,1,299,1640,980,660,283,86,18,39,7,3,341
"남자","장치기계조작 및 조립 종사자",1845,1494,351,269,21,15,56,37,1,22,1837,1508,329,258,24,15,47,25,-,19,1885,1560,325,243,27,15,50,19,-,25,1927,1573,354,271,32,14,52,19,2,26,1942,1584,358,282,26,19,56,19,1,17,1918,1558,360,283,35,16,52,20,1,22,1928,1598,330,246,32,11,51,21,1,13,1864,1554,310,224,27,18,46,29,1,15,1899,1505,394,303,44,25,42,28,-,23,1801,1440,361,287,31,14,27,27,1,30,1817,1451,366,280,50,10,36,34,1,31
"남자","단순노무 종사자",1308,506,802,449,207,21,217,16,2,215,1412,532,881,498,230,18,210,32,2,235,1450,566,884,514,243,20,235,19,1,238,1468,572,896,506,267,24,214,14,1,251,1416,547,868,503,240,24,224,19,2,227,1488,572,917,508,260,32,225,23,1,271,1547,580,967,546,306,36,238,20,1,282,1543,550,993,567,308,38,218,18,0,275,1585,483,1102,721,346,23,217,27,1,251,1705,526,1180,694,408,32,191,40,1,327,1805,506,1299,795,451,36,231,56,2,348
