"성별","산업중분류별",2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019
"성별","산업중분류별",월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%)
"여자","하수·폐기물처리,원료재생및환경복원업(37~39)",1418856,1414160,56357,73.0,1457173,1444404,153222,73.7,1461883,1450200,140199,77.0,1433461,1416558,202840,73.4,1534158,1520185,167678,73.1,1608257,1599690,102809,72.4,1810602,1799513,133069,77.8,1766000,1758000,98000,70.9,1875000,1851000,282000,75.2,2004000,1993000,130000,73.8,2163000,2145000,218000,79.6
"여자","건설업(41~42)",1371069,1362785,99411,71.6,1414165,1408108,72684,70.1,1488191,1480575,91396,68.3,1673170,1665068,97223,72.4,1791260,1753488,453263,75.3,1851494,1841751,116912,74.1,1889646,1858359,375444,75.3,1945000,1929000,192000,73.8,1957000,1938000,232000,71.5,2208000,2186000,258000,75.5,2177000,2163000,171000,73.7
"여자","도매및소매업(45~47)",1403858,1391053,153664,75.0,1514554,1503956,127175,77.0,1608037,1594274,165154,78.3,1573996,1553047,251391,75.8,1623383,1607574,189702,76.6,1683409,1666099,207717,78.1,1703131,1690230,154813,79.2,1786000,1769000,198000,80.5,1908000,1895000,154000,79.0,2115000,2104000,137000,79.6,2181000,2171000,122000,79.0
"여자","운수업(49~52)",1302706,1287144,186744,89.4,1394178,1379870,171700,89.6,1534690,1502166,390290,87.3,1581223,1556500,296678,88.9,1613085,1598266,177829,85.9,1749881,1731220,223935,92.3,1779205,1771774,89177,91.8,1891000,1884000,88000,92.8,1981000,1967000,171000,89.2,2020000,2009000,130000,89.8,2147000,2135000,141000,93.8
"여자","숙박및음식점업(55~56)",1190479,1182835,91723,79.6,1160526,1155076,65395,76.3,1239772,1233068,80450,82.3,1345817,1340440,64526,85.2,1381433,1376556,58521,86.0,1355011,1348811,74402,81.0,1357714,1352624,61079,82.3,1449000,1445000,44000,85.6,1464000,1455000,111000,81.7,1632000,1626000,69000,88.1,1872000,1868000,54000,92.2
"여자","출판,영상,방송통신및정보서비스업(58~63)",1722316,1712054,123144,70.0,1826726,1819309,89008,73.9,1903580,1889327,171039,75.7,1869465,1856298,158007,74.2,1962844,1951317,138326,75.6,1934293,1920730,162755,73.3,1973061,1962646,124978,73.6,2024000,2013000,124000,71.0,2001000,1992000,110000,69.3,2340000,2329000,139000,72.9,2545000,2512000,396000,80.0
"여자","금융및보험업(64~66)",1611710,1568748,515544,62.5,1678012,1628893,589431,63.4,1888895,1858902,359918,67.4,1823147,1806881,195192,62.4,1862077,1832646,353170,63.8,1940025,1919737,243451,61.0,1946358,1918374,335804,56.3,2247000,2170000,920000,63.0,2228000,2170000,694000,66.9,2305000,2256000,590000,68.6,2465000,2417000,574000,68.4
"여자","부동산업및임대업(68~69)",1096993,1090263,80758,72.3,1167934,1164108,45914,78.0,1138509,1133001,66091,70.7,1168931,1161609,87869,70.8,1213201,1209602,43186,69.4,1149435,1145948,41840,67.4,1177926,1175305,31446,64.4,1290000,1282000,95000,66.1,1513000,1508000,63000,70.8,1644000,1637000,87000,74.2,1707000,1704000,34000,73.0
"여자","전문,과학및기술서비스업(70~73)",1679897,1664011,190629,65.0,1762675,1739822,274238,66.3,1882161,1855878,315399,73.1,1974371,1953078,255512,73.0,2029213,2010217,227948,72.1,2121737,2091245,365899,73.8,2150313,2134661,187825,70.3,2137000,2117000,242000,71.1,2254000,2227000,324000,72.9,2411000,2393000,218000,75.0,2608000,2558000,601000,77.1
"여자","사업시설관리및사업지원서비스업(74~75)",1313575,1292141,257210,74.6,1331816,1322172,115733,76.3,1361567,1348794,153276,78.4,1383544,1373736,117700,74.4,1458811,1446149,151942,75.3,1569040,1559163,118526,74.0,1498232,1492128,73245,68.7,1590000,1586000,56000,72.6,1772000,1763000,112000,77.8,1802000,1795000,87000,73.7,1985000,1980000,61000,78.1
"여자","교육서비스업(85)",1391013,1388145,34413,68.4,1463090,1458483,55286,69.3,1667067,1664753,27764,77.7,1644966,1641254,44544,76.1,1650431,1646780,43808,76.2,1674289,1671616,32080,78.5,1585531,1582429,37221,71.0,1738000,1734000,39000,78.3,1846000,1840000,71000,77.2,1963000,1947000,185000,80.5,1991000,1987000,49000,81.5
"여자","보건업및사회복지서비스업(86~87)",1481676,1469848,141939,55.2,1539043,1528064,131750,53.9,1544100,1533218,130582,53.4,1570538,1563856,80185,53.2,1619422,1611204,98618,54.0,1602596,1596117,77749,55.5,1647722,1641381,76094,51.3,1672000,1666000,78000,51.4,1740000,1732000,91000,48.9,1882000,1876000,72000,51.9,1927000,1917000,122000,59.5
