구분,기업명,분류,시도
272,주식회사 솔트룩스,중소기업,서울
273,시스트로닉스㈜,중소기업,경기
274,㈜신진도아스,중소기업,경기
275,㈜아이패밀리에스씨,중소기업,서울
276,암페놀커머셜인터커넥트코리아㈜,대기업,경기
277,사회복지법인 삼육재단 에덴노인전문요양센터,공공기관,경기
278,주식회사 에싸,중소기업,경북
279,㈜에이텍,중소기업,경기
280,엘에스웨어㈜,중소기업,서울
281,㈜영창기업,중소기업,경남
282,㈜우리별,중소기업,경기
283,㈜이너트론,중소기업,인천
284,이스트힐㈜,중소기업,강원
285,이지웰페어 주식회사,중소기업,서울
286,주식회사 인피닉,중소기업,서울
287,일신전자통신㈜,중소기업,경기
288,㈜제로투세븐,대기업,서울
289,제천운수㈜,중소기업,충북
290,㈜중외정보기술,중소기업,서울
291,주식회사 참고을,중소기업,전북
292,주식회사 청해진수산,중소기업,전남
293,㈜케이포엠,중소기업,서울
294,㈜코마스,대기업,서울
295,㈜티에스케이,중소기업,경기
296,주식회사포웰,중소기업,경북
297,주식회사 피티엠에스,중소기업,서울
298,하지공업㈜,중소기업,경기
299,한국애브비 주식회사,중소기업,서울
300,한성아이엘에스주식회사,중소기업,경남
301,해암테크㈜,중소기업,경남
302,㈜현대호이스트,중소기업,충남
303,㈜현보,중소기업,충남
304,현항공산업㈜,중소기업,부산
305,㈜활기찬중부관광,중소기업,경기
306,㈜GBSTYLE,중소기업,서울
307,가평군시설관리공단,공공기관,경기
308,경기관광공사,공공기관,경기
309,경상북도청,공공기관,경북
310,공무원연금공단,공공기관,제주
311,광주광역시도시공사,공공기관,광주
312,한국교통안전공단,공공기관,경북
313,서울특별시 구로구시설관리공단,공공기관,서울
314,구미시설공단,공공기관,경북
315,경상북도 구미시청,공공기관,경북
316,국가기상위성센터,공공기관,충북
317,국가평생교육진흥원,공공기관,서울
318,경기도 군포시청,공공기관,경기
319,그랜드코리아레저㈜,공공기관,서울
320,근로복지공단,공공기관,울산
321,김대중컨벤션센터,공공기관,광주
322,경상남도 김해시청,공공기관,경남
323,경기도 남양주시청,공공기관,경기
324,충청남도 논산시청,공공기관,충남
325,농림수산식품교육문화정보원,공공기관,세종
326,농림식품기술기획평가원,공공기관,경기
327,대구광역시 남구청,공공기관,대구
328,대구도시철도공사,공공기관,대구
329,대구광역시청,공공기관,대구
330,대전광역시청,공공기관,대전
331,대전광역시 중구청,공공기관,대전
332,주택도시보증공사,공공기관,부산
333,도로교통공단,공공기관,강원
334,서울특별시 동대문구청,공공기관,서울
335,부산항만공사,공공기관,부산
336,부산환경공단,공공기관,부산
337,부천도시공사,공공기관,경기
338,산림청,공공기관,대전
339,충청남도 서산시청,공공기관,충남
340,(재)서울디자인재단,공공기관,서울
341,서울신용보증재단,공공기관,서울
342,서울특별시청,공공기관,서울
343,서울특별시노원구서비스공단,공공기관,서울
344,서울특별시농수산식품공사,공공기관,서울
345,재단법인 서울산업진흥원,공공기관,서울
346,서울특별시서대문구도시관리공단,공공기관,서울
347,서울특별시은평구시설관리공단,공공기관,서울
348,선박안전기술공단,공공기관,세종
349,시흥시시설관리공단,공공기관,경기
350,충청남도 아산시청,공공기관,충남
351,경기도 의왕시청,공공기관,경기
352,경기도 의정부시청,공공기관,경기
353,인천광역시 남동구도시관리공단,공공기관,인천
354,인천광역시서구시설관리공단,공공기관,인천
355,재단법인 인천광역시 여성가족재단,공공기관,인천
356,재단법인 광주디자인센터,공공기관,광주
357,재단법인 전남여성플라자,공공기관,전남
358,재단법인 서울시복지재단,공공기관,서울
359,재단법인 제주테크노파크,공공기관,제주
360,제주특별자치도개발공사,공공기관,제주
361,서울특별시종로구시설관리공단,공공기관,서울
362,충청남도 청양군청,공공기관,충남
363,포천시 시설관리공단,공공기관,경기
364,(사)한국건강관리협회,공공기관,서울
365,한국공항공사,공공기관,서울
366,한국광물자원공사,공공기관,강원
367,한국국제교류재단,공공기관,서울
368,한국기계연구원,공공기관,대전
369,재단법인 한국노인인력개발원,공공기관,경기
370,한국도로공사,공공기관,경북
371,한국무역보험공사,공공기관,서울
372,한국문화예술위원회,공공기관,전남
373,한국방송광고진흥공사,공공기관,서울
374,한국보건의료연구원,공공기관,서울
375,재단법인 한국우편사업진흥원,공공기관,서울
376,한국원자력환경공단,공공기관,경북
377,한국인터넷진흥원,공공기관,서울
378,한국전자통신연구원,공공기관,대전
379,한국조폐공사,공공기관,대전
380,한국표준과학연구원,공공기관,대전
381,한국해양과학기술원,공공기관,경기
382,한국화학연구원,공공기관,대전
383,한국환경공단,공공기관,인천
384,해양환경관리공단,공공기관,서울
385,서울주택도시공사,공공기관,서울
386,㈜경기화성바이오밸리,대기업,경기
387,㈜광주신세계,대기업,광주
388,금호터미널 주식회사,대기업,광주
389,기아자동차㈜,대기업,서울
390,㈜김해테크노밸리,대기업,경남
391,(주)대구은행,대기업,대구
392,동두천드림파워㈜,대기업,경기
393,㈜동성화학,대기업,부산
394,㈜동원에프앤비,대기업,서울
395,롯데제과㈜,대기업,서울
396,롯데케미칼 주식회사,대기업,서울
397,보령메디앙스㈜,대기업,서울
398,부일정보링크㈜,중소기업,부산
399,삼성생명서비스손해사정㈜,대기업,서울
400,삼익THK(주),대기업,대구
401,샘표식품(주),대기업,서울
402,㈜선진,대기업,서울
403,㈜스타벅스커피 코리아,대기업,서울
404,신세계건설㈜,대기업,서울
405,(주)신세계아이앤씨,대기업,서울
406,㈜신세계엘앤비,대기업,서울
407,㈜신세계인터내셔날,대기업,서울
408,㈜신세계조선호텔,대기업,서울
409,씨제이대한통운㈜,대기업,서울
410,CJ CGV㈜,대기업,서울
411,씨제이이앤엠 주식회사,대기업,서울
412,씨제이제일제당㈜,대기업,서울
413,씨제이 푸드빌㈜,대기업,서울
414,씨제이프레시웨이㈜,대기업,경기
415,㈜에스에이엠티,대기업,서울
416,SK루브리컨츠 주식회사,대기업,서울
417,에이에스엠엘코리아㈜,대기업,경기
418,에코시스템㈜,대기업,경남
419,엘에스니꼬 동제련 주식회사,대기업,울산
420,엘에스메탈 주식회사,대기업,서울
421,엘에스산전㈜,대기업,경기
422,엘에스엠트론㈜,대기업,경기
423,㈜엘지생활건강,대기업,서울
424,엘지이노텍㈜,대기업,서울
425,주식회사 한국코퍼레이션,대기업,서울
426,주식회사 예스코,대기업,서울
427,㈜웅진씽크빅,대기업,경기
428,㈜원익머트리얼즈,대기업,충북
429,㈜윌앤비전,중소기업,서울
430,주식회사 유세스파트너스,대기업,서울
431,㈜이노션,대기업,서울
432,㈜이마트,대기업,서울
433,㈜제주항공,대기업,제주
434,㈜케이티씨에스,대기업,대전
435,㈜파리크라상,대기업,경기
436,㈜포스메이트,대기업,서울
437,주식회사 포스코휴먼스,대기업,경북
438,주식회사 하나저축은행,대기업,서울
439,㈜한화갤러리아,대기업,서울
440,㈜한화갤러리아타임월드,대기업,대전
441,현대건설(주),대기업,서울
442,현대글로비스 주식회사,대기업,서울
443,현대라이프생명보험㈜,대기업,서울
444,현대로템 주식회사,대기업,경남
445,현대모비스㈜,대기업,서울
446,현대에이치디에스㈜,대기업,서울
447,현대엔지니어링(주),대기업,서울
448,현대오토에버 주식회사,대기업,서울
449,현대자동차㈜,대기업,서울
450,현대제철 주식회사,대기업,서울
451,현대카드 주식회사,대기업,서울
452,현대캐피탈 주식회사,대기업,서울
453,현대커머셜 주식회사,대기업,서울
454,주식회사 현대케피코,대기업,경기
455,㈜호텔롯데롯데월드,대기업,서울
456,㈜가엘에스앤에스,중소기업,서울
457,㈜경도,중소기업,경남
458,경성산업,중소기업,부산
459,㈜경우시스테크,중소기업,서울
460,고려화공㈜,중소기업,부산
461,주식회사 그린켐텍,중소기업,부산
462,㈜나스콤,중소기업,충북
463,주식회사 날리지큐브,중소기업,서울
464,㈜남부식품,중소기업,경남
465,남영TECH,중소기업,경남
466,남일종합식품산업사,중소기업,부산
467,㈜네이처닉,중소기업,경기
468,㈜누비콤 ,중소기업,서울
469,㈜다림바이오텍,중소기업,경기
470,(주) 다이테크,중소기업,경남
471,주식회사 대덕테크,중소기업,대전
472,대륙테크놀로지 주식회사,중소기업,세종
473,주식회사 대성지기,중소기업,충북
474,대신정보기술㈜,중소기업,서울
475,대영이앤비㈜,중소기업,경기
476,대진식품,중소기업,전남
477,대흥에코 유한책임회사,중소기업,경기
478,대흥에코 주식회사,중소기업,서울
479,㈜델타시스템,중소기업,대전
480,농업회사법인㈜돈도담,중소기업,대전
481,동림전기 주식회사,중소기업,대전
482,㈜동성식품,중소기업,경기
483,주식회사 디아이,중소기업,강원
484,㈜동진푸드,중소기업,경기
485,동해식품㈜,중소기업,강원
486,디씨에스이엔지 주식회사,중소기업,충북
487,(주)디에이케이코리아,중소기업,충북
488,㈜디엔디리미티드,중소기업,서울
489,주식회사 디투에스,중소기업,경기
490,주식회사 랩죤,중소기업,대전
491,주식회사 마루이엔지,중소기업,대전
492,마이크로인스펙션㈜,중소기업,서울
