"여자","C.제조업(10~34)",가죽 가방 및 신발 제조업,2483,2406,924,79.9
"여자","C.제조업(10~34)",목재 및 나무제품 제조업; 가구 제외,2684,2485,2387,81.8
"여자","C.제조업(10~34)",펄프 종이 및 종이제품 제조업,2769,2560,2505,80.7
"여자","C.제조업(10~34)",인쇄 및 기록매체 복제업,2617,2528,1065,79.5
"여자","C.제조업(10~34)",코크스 연탄 및 석유정제품 제조업,3696,2803,10719,52.6
"여자","C.제조업(10~34)",화학 물질 및 화학제품 제조업; 의약품 제외,2833,2601,2777,58.7
"여자","C.제조업(10~34)",의료용 물질 및 의약품 제조업,3344,2998,4151,80.0
"여자","C.제조업(10~34)",고무 및 플라스틱제품 제조업,2583,2434,1790,68.7
"여자","C.제조업(10~34)",비금속 광물제품 제조업,2770,2602,2020,68.3
"여자","C.제조업(10~34)",1차 금속 제조업,2729,2488,2902,58.0
"여자","C.제조업(10~34)",금속 가공제품 제조업; 기계 및 가구 제외,2579,2425,1837,71.0
"여자","C.제조업(10~34)",전자 부품 컴퓨터 영상 음향 및 통신장비 제조업,4181,3193,11857,72.4
"여자","C.제조업(10~34)",의료 정밀 광학 기기 및 시계 제조업,2657,2463,2325,67.4
"여자","C.제조업(10~34)",전기장비 제조업,2640,2443,2369,64.7
"여자","C.제조업(10~34)",기타 기계 및 장비 제조업,2928,2714,2560,73.4
"여자","C.제조업(10~34)",자동차 및 트레일러 제조업,2786,2460,3912,63.4
"여자","C.제조업(10~34)",기타 운송장비 제조업,3010,2790,2638,71.1
"여자","C.제조업(10~34)",가구 제조업,2564,2427,1640,77.6
"여자","C.제조업(10~34)",기타 제품 제조업,2436,2286,1804,71.2
"여자","C.제조업(10~34)",산업용 기계 및 장비 수리업,3187,2828,4301,70.6
"여자","D.전기, 가스, 증기 및 공기 조절 공급업(35)",소계,4703,3736,11603,71.9
"여자","D.전기, 가스, 증기 및 공기 조절 공급업(35)",전기 가스 증기 및 공기 조절 공급업,4703,3736,11603,71.9
"여자","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",소계,3048,2807,2891,76.2
